Year,Country,Average Temp
2002,South Africa,0.5104705882352941
2003,South Africa,0.8012352941176469
2004,South Africa,0.9630588235294117
2005,South Africa,0.9864705882352943
2006,South Africa,0.478764705882353
2007,South Africa,0.7841764705882353
2008,South Africa,0.772
2009,South Africa,0.7516470588235293
2010,South Africa,1.1817647058823528
2011,South Africa,0.5125882352941176
2012,South Africa,0.6646470588235294
2013,South Africa,0.6817647058823529
2014,South Africa,0.8335294117647059
2015,South Africa,1.4765294117647059
2016,South Africa,1.5991764705882352
2017,South Africa,1.0214117647058825
2018,South Africa,1.128764705882353
2019,South Africa,1.7169411764705884
1961,United Kingdom,0.421
1962,United Kingdom,-0.6917058823529412
1963,United Kingdom,-0.8558235294117648
1964,United Kingdom,0.04711764705882355
1965,United Kingdom,-0.5414705882352943
1966,United Kingdom,-0.08764705882352941
1967,United Kingdom,0.19117647058823528
1968,United Kingdom,-0.11517647058823531
1969,United Kingdom,-0.2093529411764706
1970,United Kingdom,-0.023117647058823534
1971,United Kingdom,0.38741176470588234
1972,United Kingdom,-0.12329411764705883
1973,United Kingdom,0.14347058823529413
1974,United Kingdom,0.07611764705882358
1975,United Kingdom,0.5355882352941177
1976,United Kingdom,
1977,United Kingdom,-0.10717647058823529
1978,United Kingdom,-0.04064705882352942
1979,United Kingdom,-0.7314117647058823
1980,United Kingdom,-0.013588235294117658
1981,United Kingdom,-0.08223529411764703
1982,United Kingdom,0.28841176470588237
1983,United Kingdom,0.439
1984,United Kingdom,0.30735294117647055
1985,United Kingdom,-0.5178235294117648
1986,United Kingdom,-0.6235294117647059
1987,United Kingdom,-0.28123529411764703
1988,United Kingdom,0.3981176470588235
1989,United Kingdom,0.9552352941176471
1990,United Kingdom,1.0056470588235293
1991,United Kingdom,0.23235294117647062
1992,United Kingdom,0.4298823529411765
1993,United Kingdom,0.005058823529411751
1994,United Kingdom,0.4804705882352941
1995,United Kingdom,0.8985294117647059
1996,United Kingdom,-0.10805882352941171
1997,United Kingdom,1.0308823529411766
1998,United Kingdom,0.8281176470588235
1999,United Kingdom,1.0451764705882354
2000,United Kingdom,0.7674117647058823
2001,United Kingdom,0.5306470588235295
2002,United Kingdom,1.088
2003,United Kingdom,1.1506470588235291
2004,United Kingdom,1.0598235294117644
2005,United Kingdom,1.0682941176470588
2006,United Kingdom,1.3127058823529414
2007,United Kingdom,1.2582352941176471
2008,United Kingdom,0.7565294117647058
2009,United Kingdom,0.8827647058823529
2010,United Kingdom,-0.23488235294117646
2011,United Kingdom,1.1468235294117646
2012,United Kingdom,0.5210588235294118
2013,United Kingdom,0.46535294117647064
2014,United Kingdom,1.639764705882353
2015,United Kingdom,0.8107647058823529
2016,United Kingdom,1.0738235294117646
2017,United Kingdom,1.3504117647058824
2018,United Kingdom,1.1087058823529412
2019,United Kingdom,1.215
1961,United States of America,-0.10258823529411766
1962,United States of America,0.10147058823529415
1963,United States of America,0.3199411764705883
1964,United States of America,-0.29241176470588237
1965,United States of America,-0.2177058823529412
1966,United States of America,-0.2922941176470588
1967,United States of America,0.09429411764705883
1968,United States of America,-0.1876470588235294
1969,United States of America,-0.09652941176470588
1970,United States of America,-0.09682352941176471
1971,United States of America,-0.38617647058823534
1972,United States of America,-0.3457647058823529
1973,United States of America,0.08088235294117646
1974,United States of America,0.03423529411764707
1975,United States of America,-0.17029411764705882
1976,United States of America,
1977,United States of America,0.4408823529411765
1978,United States of America,0.014294117647058813
1979,United States of America,-0.21005882352941177
1980,United States of America,0.3578823529411765
1981,United States of America,0.8982941176470589
